Experiment,Assign Time,Boundary Time,Setup Time,Solve Time,Visualize Time,Writing Time,Total Time
1,0.0235,0.0324,0.0504,4.5579,1.8305,0.0098,6.5303
2,0.1207,0.0073,0.0218,3.9784,2.4877,0.0108,6.6584
3,0.0373,0.0048,0.0162,3.7015,2.2021,0.006,5.9928
4,0.0214,0.0049,0.0169,2.5916,3.1246,0.011,5.7903
5,0.028,0.0076,0.0212,2.3136,2.9609,0.0082,5.3738
6,0.0286,0.0066,0.0196,2.7674,2.5159,0.0133,5.3786
7,0.0234,0.0311,0.0502,4.7939,1.9269,0.0132,6.8627
8,0.138,0.0048,0.0159,4.42,2.0656,0.0062,6.6783
9,0.0274,0.0082,0.0167,4.2824,2.0417,0.0057,6.4151
10,0.0221,0.0051,0.0157,3.4421,2.2703,0.0086,5.786
11,0.0224,0.0045,0.0165,2.5918,2.4557,0.0062,5.1231
12,0.0305,0.0049,0.0177,2.6774,2.7071,0.014,5.4739
13,0.0234,0.0311,0.0506,4.5987,1.9738,0.0181,6.7136
14,0.1024,0.0075,0.0198,5.1472,2.2487,0.0087,7.559
15,0.0282,0.0074,0.0238,4.3911,2.2346,0.009,6.7334
16,0.0309,0.0078,0.025,4.0097,2.1184,0.0064,6.2412
17,0.0213,0.0055,0.0184,3.1923,2.1656,0.0105,5.4352
18,0.0268,0.007,0.0205,3.7463,1.8006,0.0059,5.6361
19,0.0234,0.0312,0.0506,4.5991,1.9764,0.0105,6.7166
20,0.1145,0.0048,0.0216,4.5004,2.1599,0.0096,6.8403
21,0.0283,0.0057,0.0162,3.8708,2.2395,0.0078,6.1934
22,0.0196,0.006,0.0157,3.2952,2.6137,0.0087,5.9893
23,0.0323,0.0051,0.0206,2.6484,2.5265,0.0073,5.2788
24,0.0242,0.0052,0.0192,2.674,2.5471,0.0087,5.3027
25,0.0237,0.0307,0.0506,4.606,2.0685,0.0091,6.8162
26,0.1029,0.006,0.0209,4.5498,2.1484,0.0092,6.8699
27,0.0268,0.0064,0.0176,4.6173,1.8982,0.0152,6.6006
28,0.0413,0.0134,0.0361,4.9083,2.5033,0.0112,7.5715
29,0.0291,0.0111,0.022,3.0773,2.2696,0.0111,5.451
30,0.024,0.0053,0.0165,3.7398,1.8568,0.0084,5.6774
31,0.0235,0.0306,0.0505,4.6036,1.921,0.0096,6.6659
32,0.1071,0.0055,0.0191,4.2778,2.1642,0.0058,6.6127
33,0.0227,0.0066,0.0185,4.179,2.3171,0.0106,6.5782
34,0.035,0.0099,0.0318,4.8274,2.3381,0.0103,7.2954
35,0.0291,0.0055,0.0237,3.3515,2.3975,0.0075,5.8576
36,0.0246,0.0078,0.0149,3.9109,1.517,0.005,5.5089
37,0.0171,0.0274,0.0432,4.5684,1.822,0.0067,6.5082
38,0.1238,0.0111,0.0232,4.3007,2.3208,0.0109,6.8285
39,0.0271,0.0056,0.0161,4.3073,2.3783,0.0059,6.7624
40,0.0278,0.0049,0.0182,3.6924,2.5783,0.0167,6.3571
41,0.0259,0.0052,0.0158,3.1707,2.0054,0.0092,5.2643
42,0.0283,0.0074,0.0171,2.7772,2.4307,0.0074,5.2972
43,0.0167,0.0278,0.0409,5.0678,2.1667,0.0156,7.3489
44,0.1254,0.0083,0.0234,4.5383,2.274,0.0192,7.0089
45,0.0288,0.006,0.0219,3.9949,1.8739,0.0081,5.9658
46,0.0247,0.0052,0.0171,3.5314,2.6266,0.0067,6.2369
47,0.025,0.0055,0.0172,3.5525,2.0352,0.0112,5.6724
48,0.0342,0.0092,0.0186,3.0891,1.871,0.01,5.0584
49,0.0238,0.0307,0.0502,4.8032,1.9653,0.0202,6.91
50,0.1163,0.0049,0.0172,4.3726,2.1386,0.0064,6.6808
51,0.0221,0.0054,0.0173,3.8971,2.1242,0.01,6.101
52,0.0194,0.0064,0.0208,4.6461,2.0789,0.0074,6.816
53,0.023,0.0058,0.017,3.6278,2.4864,0.0076,6.1932
54,0.0251,0.0061,0.0184,2.9415,1.893,0.0055,4.9213
55,0.0235,0.0314,0.0508,4.4499,1.9094,0.0115,6.5009
56,0.139,0.0084,0.0227,5.1007,2.0578,0.0073,7.3666
57,0.0317,0.0077,0.0262,3.9607,2.3519,0.0062,6.4197
58,0.0216,0.0084,0.0164,4.3088,2.2108,0.0088,6.5992
59,0.0244,0.0093,0.0171,3.8979,2.216,0.0064,6.1949
60,0.0257,0.0054,0.0167,3.3386,1.6844,0.0052,5.1016
61,0.0234,0.0314,0.0505,4.4466,1.8869,0.009,6.4755
62,0.128,0.0104,0.0204,4.9376,2.0939,0.0056,7.2382
63,0.022,0.0053,0.0149,3.7001,2.011,0.0115,5.7853
64,0.0347,0.0064,0.0154,3.4533,2.4304,0.0054,5.9716
65,0.0278,0.0049,0.0204,2.6954,2.905,0.0056,5.6938
66,0.0213,0.0054,0.017,2.7787,2.7278,0.0068,5.5818
67,0.0168,0.0269,0.0403,5.0372,2.0752,0.0116,7.2239
68,0.0928,0.007,0.0236,4.5122,1.9381,0.0055,6.6126
69,0.0228,0.0049,0.019,4.1846,1.9707,0.0154,6.2386
70,0.0432,0.0148,0.026,4.888,2.5898,0.0081,7.6283
71,0.0259,0.0073,0.0229,3.1373,2.5495,0.0102,5.7874
72,0.0231,0.0054,0.0218,3.2874,1.4802,0.0057,4.849
73,0.0166,0.0566,0.0627,5.0814,2.2443,0.0173,7.523
74,0.1219,0.0078,0.0205,4.9904,2.3799,0.0198,7.5569
75,0.0569,0.0142,0.0213,3.8256,2.0314,0.0142,6.0298
76,0.0303,0.007,0.0224,3.5976,2.0891,0.0179,5.7856
77,0.0232,0.0046,0.0169,3.635,2.4135,0.0083,6.1289
78,0.0245,0.0072,0.0151,3.9426,1.8307,0.0074,5.8506
79,0.0279,0.0357,0.0423,5.0164,1.8939,0.0079,7.0459
80,0.0857,0.0051,0.0149,4.7728,2.3569,0.0119,7.2637
81,0.0284,0.0079,0.0235,4.4834,1.8772,0.0072,6.4629
82,0.0207,0.0054,0.017,3.8576,2.0162,0.0073,5.9484
83,0.0204,0.0081,0.0206,3.8428,2.0814,0.0071,6.0083
84,0.0224,0.0061,0.0235,3.0045,1.7677,0.0065,4.8633
85,0.0236,0.0307,0.0504,4.5909,1.7915,0.0124,6.5244
86,0.1309,0.0067,0.0217,4.3256,2.1451,0.0054,6.6746
87,0.0233,0.0053,0.0207,3.3265,2.4661,0.0072,5.8743
88,0.0215,0.0056,0.016,3.4224,2.6818,0.0057,6.1845
89,0.0329,0.0097,0.0167,2.7275,2.6092,0.0094,5.4326
90,0.0249,0.0049,0.0171,2.7715,2.5266,0.0102,5.3777
91,0.0123,0.0195,0.0315,3.9453,2.293,0.0108,6.3245
92,0.0868,0.007,0.0172,4.0506,2.583,0.0104,6.7813
93,0.0292,0.0084,0.0201,2.9528,2.9385,0.0065,5.9893
94,0.0226,0.0051,0.0175,2.7049,3.0381,0.0079,5.8211
95,0.0293,0.0067,0.0237,2.6877,2.5671,0.0171,5.35
96,0.0265,0.01,0.0256,2.552,2.608,0.0145,5.268
